valorgenetico,crotal,partos,litros
22.07,7717,3,362
42.44,7720,3,274
9.94,7722,3,322
29.56,7726,1,186
31.27,7727,3,371
13.98,7729,3,466
27.99,7730,2,279
33.62,7732,3,214
0,7733,2,0
58.96,7734,2,508
24.9,7735,2,169
39.82,7737,3,470
8.85,7738,3,390
17.44,7739,3,266
30.74,7740,2,409
12.43,7741,2,278
11.55,7744,3,481
19.78,7745,2,250
29.24,7747,3,292
31.65,7748,3,586
31.29,7749,2,340
35.68,7750,2,373
21.79,7753,2,315
18.92,7754,3,450
20.06,7755,3,252
26.98,7756,2,269
31.64,7757,4,476
6.28,7760,2,132
24.56,7761,3,469
25.05,7765,3,233
24.32,7767,2,325
24.5,7768,2,323
17.35,7769,3,475
32.07,7770,2,385
31.47,7771,2,399
0,7774,2,0
33,7775,3,385
49.59,7776,2,218
28.46,7777,3,494
7.71,7778,2,266
49.96,7779,3,734
8.05,7780,2,206
21.76,7781,2,266
38.8,8590,6,840
15.13,8625,6,725
24.11,8628,6,1471
6.66,8647,7,647
0.83,8665,6,233
5.21,14764,2,184
17.33,14767,2,301
7.62,14768,1,154
32.75,14769,1,249
9.99,14771,2,274
23.71,14775,1,173
1.99,14776,2,149
5.93,14777,2,190
21.73,14778,2,171
21.87,14779,2,163
0,14781,2,0
16.44,14784,2,110
22.29,14785,2,239
0,14786,1,0
52.64,14787,2,373
4.38,14788,2,185
13.45,14789,1,182
7.69,14790,2,211
11.89,14791,1,176
37.76,14792,2,283
37.22,14795,1,146
6.29,14796,2,159
11.12,14797,2,197
0,14798,1,0
19.09,14801,2,162
25.22,14802,2,109
30.39,14803,1,222
6.87,14804,2,246
33.29,14806,1,111
26.58,14810,1,197
24.14,14811,1,235
22.23,14812,2,244
14.98,14813,1,115
15.89,14815,2,159
8.93,14816,2,205
15.73,33828,9,964
27.35,40641,8,609
5.2,55667,6,353
15.13,55668,6,1107
3.14,55673,6,593
9.33,55676,6,1094
0.28,55677,5,507
22.26,55680,4,435
47.92,55682,6,1085
37.99,55683,6,1103
19.2,55684,6,731
14.54,55685,6,919
9.41,55690,6,516
13.43,55695,6,940
3.67,55696,5,350
21.55,55697,6,1310
3.77,55698,6,516
15.58,55699,6,552
21.47,56384,4,730
14.1,56386,4,380
54.41,56387,3,730
0,56393,0,0
18.22,56394,3,559
35.95,56395,4,694
14.18,56398,4,629
20.56,56400,3,383
12.74,54401,4,525
31.68,56402,3,514
15.5,56404,4,310
0,56409,3,383
20.44,56410,3,579
1.28,56411,3,277
29.35,56412,3,524
29.27,56413,3,611
47.23,56414,3,664
13.79,56415,4,536
9.73,56416,3,428
19.88,56418,4,562
1.45,56420,4,483
3.66,56422,4,309
10.82,56423,3,375
8.94,56424,4,548
45.51,56426,3,253
24.83,56428,3,342
18.2,56429,4,415
14.52,56431,4,552
17.84,56436,3,192
3.74,56437,3,367
0.83,56438,4,361
7.13,54441,3,331
12.13,56442,3,296
16.93,56444,4,242
3.43,56446,3,402
27.76,56448,4,581
29.06,56449,4,662
38.2,56450,4,683
20.14,56451,3,329
31.13,56454,4,798
14.82,56456,4,604
10.91,56457,3,426
16.08,56458,3,561
4.97,56460,4,414
4.44,56465,4,342
8.67,56472,4,411
11.18,56475,4,639
5.24,72300,1,112
0,72301,0,0
0,72302,0,0
25.52,72303,1,161
21.21,72314,1,97
7.63,72325,1,102
5.66,72332,1,71
20.14,72334,1,97
10.63,72344,1,99
31.61,72355,1,178
23.56,72356,1,131
40.66,72365,1,123
13.31,72383,1,134
14.19,80609,4,635
17.62,80610,5,635
0.44,80618,5,381
1.4,80623,5,591
38.22,80624,5,741
24.56,80629,4,516
6.98,80631,4,460
52.07,80634,4,592
16.4,80637,3,294
7.89,80639,4,590
0,80641,0,0
3.19,80642,5,447
19.46,80646,5,646
20.88,80647,3,558
23.68,80650,5,586
3.96,80654,5,544
29.06,80659,4,315
31.75,80661,4,607
11.79,80663,4,781
1.08,80664,5,71
14.08,80669,5,582
1.61,80683,4,361
0.12,80686,5,450
17.15,80690,5,461
0.62,80692,5,586
8.34,80693,4,730
23.5,80697,5,864
5.36,80698,4,445
12.71,83384,6,922
10.37,83387,6,926
19.7,83388,5,718
23.12,83390,6,534
0,83391,0,0
4.12,83392,5,506
16.86,83395,6,1180
3.76,83400,6,647
2.28,83403,5,623
37.56,83405,5,1154
23.91,83406,2,179
7.58,83413,5,300
10.39,83414,3,526
10.46,83416,6,951
15.05,83419,6,1213
15.28,83420,6,801
15.21,83424,6,1122
2.94,83426,5,400
16.13,83429,6,694
28.07,83433,6,1356
